J1,J2,J3
-1.050374,-0.871069,-0.705294
-0.576646,-1.411881,-1.120128
0.044579,-1.588985,-1.256277
0.655386,-1.355571,-1.076870
1.099241,-0.769160,-0.627278
1.261376,0.021790,-0.023439
1.098701,0.814687,0.578940
0.651620,1.404259,1.024942
0.034675,1.635954,1.199773
-0.592255,1.447375,1.057496
-1.065359,0.886020,0.632988
-1.259976,0.097784,0.034423
-1.123682,-0.710901,-0.582701
-0.690761,-1.327068,-1.054979
-0.074270,-1.587198,-1.254902
0.562896,-1.420769,-1.126957
1.050983,-0.869898,-0.704397
1.258888,-0.079496,-0.100600
1.129621,0.739997,0.522322
0.696278,1.368092,0.997629
0.074270,1.633761,1.198119
-0.568799,1.462951,1.069254
-1.058229,0.900254,0.643771
-1.259976,0.097784,0.034423
-1.117620,-0.725897,-0.594174
-0.668505,-1.345244,-1.068939
-0.034675,-1.589382,-1.256583
0.609676,-1.389408,-1.102862
1.086045,-0.798401,-0.649658
1.261376,0.021790,-0.023439
1.085485,0.843967,0.601128
0.605818,1.438000,1.050418
-0.044579,1.635555,1.199472
-0.683376,1.378888,1.005783
-1.130110,0.738735,0.521365
-1.257489,-0.104769,-0.119860
-1.027920,-0.912780,-0.737239
-0.505059,-1.455284,-1.153480
0.163031,-1.576487,-1.246664
0.785303,-1.239824,-0.988000
1.182480,-0.539679,-0.451781
1.239041,0.324120,0.206595
0.937085,1.102436,0.796821
0.362524,1.568388,1.148815
-0.318535,1.584191,1.160735
-0.907429,1.143149,0.827617
-1.231128,0.373076,0.243804
-1.193390,-0.500590,-0.421912
-0.803685,-1.220787,-0.973389
-0.175577,-1.574317,-1.244996
0.505564,-1.455003,-1.153264
1.037087,-0.896089,-0.724455
1.259677,-0.061930,-0.087214
1.105394,0.799299,0.567277
0.618811,1.428759,1.043441
-0.055029,1.635026,1.199073
-0.713168,1.353519,0.986622
-1.155908,0.667867,0.467620
-1.247768,-0.214531,-0.203546
-0.959223,-1.025277,-0.823440
-0.376733,-1.516502,-1.200538
0.322262,-1.536558,-1.215959
0.922957,-1.077212,-0.863254
1.239451,-0.277671,-0.251711
1.172621,0.616499,0.428649
0.741497,1.327908,0.967275
0.078666,1.633419,1.197861
-0.609676,1.435282,1.048366
-1.107771,0.793736,0.563061
-1.258305,-0.090732,-0.109162
-1.012385,-0.940076,-0.758150
-0.445928,-1.486018,-1.177103
0.262834,-1.554651,-1.229871
0.888881,-1.122152,-0.897717
1.232078,-0.323859,-0.286957
1.181520,0.586921,0.406203
0.751700,1.318311,0.960025
0.079215,1.633375,1.197828
-0.619770,1.428066,1.042918
-1.118893,0.766997,0.542792
-1.255304,-0.136314,-0.143905
-0.983101,-0.988466,-0.795227
-0.389320,-1.511381,-1.196601
0.332893,-1.532909,-1.213152
0.946603,-1.043867,-0.837689
1.249105,-0.202691,-0.194516
1.139244,0.714654,0.503105
0.651620,1.404259,1.024942
-0.053379,1.635117,1.199142
-0.741497,1.327908,0.967275
-1.182480,0.583621,0.403699
-1.227555,-0.349241,-0.306331
-0.859928,-1.157728,-0.925005
-0.201702,-1.569274,-1.241117
0.525657,-1.443513,-1.144434
1.075547,-0.820695,-0.666724
1.260247,0.090048,0.028534
1.015332,0.979624,0.703876
0.422673,1.543143,1.129771
-0.315871,1.585078,1.161404
-0.946603,1.088754,0.786469
-1.251433,0.223997,0.130462
-1.123682,-0.710901,-0.582701
-0.605818,-1.392116,-1.104943
0.123656,-1.582236,-1.251086
0.810874,-1.213139,-0.967521
1.215072,-0.411239,-0.353664
1.193390,0.544483,0.373992
0.751700,1.318311,0.960025
0.044029,1.635580,1.199491
-0.680134,1.381555,1.007797
-1.163696,0.644550,0.449932
-1.233706,-0.314231,-0.279610
-0.863546,-1.153406,-0.921690
-0.183750,-1.572816,-1.243841
0.562896,-1.420769,-1.126957
1.107771,-0.749472,-0.612212
1.253518,0.201626,0.113445
0.945875,1.089812,0.787269
0.294507,1.591902,1.166552
-0.464920,1.522798,1.114420
-1.055526,0.905568,0.647795
-1.260589,-0.035211,-0.066856
-1.003451,-0.955246,-0.769771
-0.376733,-1.516502,-1.200538
0.389844,-1.511164,-1.196434
1.013041,-0.938947,-0.757285
1.261144,-0.009179,-0.047025
1.040521,0.934255,0.669522
0.431478,1.539085,1.126708
-0.339790,1.576830,1.155183
-0.984479,1.031023,0.742783
-1.259677,0.105517,0.040310
-1.060321,-0.851655,-0.690428
-0.459799,-1.479207,-1.171867
0.315871,-1.538691,-1.217599
0.972322,-1.005360,-0.808174
1.258888,-0.079496,-0.100600
1.064770,0.887209,0.633890
0.462361,1.524094,1.115398
-0.318535,1.584191,1.160735
-0.977560,1.041984,0.751079
-1.259677,0.105517,0.040310
-1.054319,-0.863443,-0.699454
-0.439227,-1.489223,-1.179567
0.347734,-1.527601,-1.209071
0.999771,-0.961387,-0.774477
1.261144,-0.009179,-0.047025
1.027920,0.957365,0.687023
0.389844,1.557452,1.140566
-0.402908,1.551913,1.136386
-1.037087,0.940638,0.674356
-1.260589,-0.035211,-0.066856
-0.983101,-0.988466,-0.795227
-0.313206,-1.539567,-1.218272
0.482774,-1.467392,-1.162786
1.086045,-0.798401,-0.649658
1.253518,0.201626,0.113445
0.916176,1.131431,0.818754
0.208220,1.614396,1.183516
-0.584952,1.452310,1.061221
-1.141361,0.708923,0.498759
-1.233706,-0.314231,-0.279610
-0.822618,-1.200395,-0.957741
-0.074270,-1.587198,-1.254902
0.705431,-1.314620,-1.045421
1.195688,-0.491930,-0.415295
1.193390,0.544483,0.373992
0.697655,1.366923,0.996747
